"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","201","Проверка недопустимого HTTP метода","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","548","TC-AREA-05, проверка статус кода и времени ответа","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","408","TC-AREA-08, проверка связи ""ребенок- родитель""","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","189","TC-AREA-11, проверка обработки отрицательного значения","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","183","TC-DICT-06, проверка невалидного query параметра locale с цифровым значением","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","504","TC-VAC-01, Успешный поиск без параметров","hh-vacancies-mocked","2026-09-02","failed","2026-09-02","","","",""
"","175","TC-AREA-12, проверка обработки дробного значения","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","832","TC-AREA-01, Проверка статус кода и времени ответа","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","156","TC-VAC-04, запрос с параметрами за пределами выдачи","hh-vacancies-mocked","2026-09-02","passed","2026-09-02","","","",""
"","237","TC-AREA-14, проверка обработки строкового значения","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","234","TC-AREA-07, запрос конечного узла без дочерних элементов","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","735","TC-AREA-03, проверка работы query параметра locale=EN","hh-live","2026-09-02","failed","2026-09-02","","","",""
"","824","TC-AREA-10, проверка обработки нулевого значения area_id","hh-live","2026-09-02","failed","2026-09-02","","","",""
"","154","TC-VAC-03, запрос без авторизации","hh-vacancies-mocked","2026-09-02","failed","2026-09-02","","","",""
"","183","TC-AREA-09, запрос невалидного id (заведомо несуществующий)","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","1047","валидация обязательности заголовка user-agent","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","173","TC-DICT-01_03","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","184","TC-AREA-04, проверка недопустимого http метода","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","755","TC-AREA-06, проверка query параметра locale=EN","hh-live","2026-09-02","failed","2026-09-02","","","",""
"","223","TC-DICT-04, проверка работы query параметра locale=EN","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","174","TC-AREA-15, проверка обработки небуквенно числовых спецсимволов","hh-live","2026-09-02","passed","2026-09-02","","","",""
"","163","TC-VAC-02, параметры переданы с ошибкой","hh-vacancies-mocked","2026-09-02","failed","2026-09-02","","","",""
"","171","TC-AREA-13, проверка обработки числа int32+1","hh-live","2026-09-02","passed","2026-09-02","","","",""
